locus_tag	ftype	length_bp	gene	EC_number	COG	product
HNHBCBPK_00719	CDS	1005	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
HNHBCBPK_00720	CDS	2232	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
HNHBCBPK_00721	CDS	441	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
HNHBCBPK_00722	CDS	2601	adhE_2		COG1012	Aldehyde-alcohol dehydrogenase
HNHBCBPK_00723	CDS	981				hypothetical protein
HNHBCBPK_00724	CDS	570				hypothetical protein
HNHBCBPK_00725	tRNA	71				tRNA-Cys(gca)
HNHBCBPK_00726	CDS	786	rpsB		COG0052	30S ribosomal protein S2
HNHBCBPK_00727	CDS	1035	tsf		COG0264	Elongation factor Ts
HNHBCBPK_00728	CDS	1743	ezrA		COG4477	Septation ring formation regulator EzrA
HNHBCBPK_00729	CDS	1113	recF		COG1195	DNA replication and repair protein RecF
HNHBCBPK_00730	CDS	351				hypothetical protein
HNHBCBPK_00731	CDS	1284				hypothetical protein
HNHBCBPK_00732	CDS	1284				hypothetical protein
HNHBCBPK_00733	CDS	885				hypothetical protein
HNHBCBPK_00734	CDS	552	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
HNHBCBPK_00735	CDS	1293				hypothetical protein
HNHBCBPK_00736	CDS	765	agrA_2		COG3279	Accessory gene regulator protein A
HNHBCBPK_00737	CDS	198				hypothetical protein
HNHBCBPK_00738	CDS	840	ecfA1	7.-.-.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
HNHBCBPK_00739	CDS	855	ecfA2	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
HNHBCBPK_00740	CDS	804	ecfT_1		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
HNHBCBPK_00741	CDS	711	dapH	2.3.1.89	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
HNHBCBPK_00742	CDS	390				hypothetical protein
HNHBCBPK_00743	CDS	1125		3.5.1.47	COG1473	N-acetyldiaminopimelate deacetylase
HNHBCBPK_00744	CDS	816				hypothetical protein
HNHBCBPK_00745	CDS	1332	mepA_1			Multidrug export protein MepA
HNHBCBPK_00746	CDS	201	cspLA		COG1278	Cold shock-like protein CspLA
HNHBCBPK_00747	CDS	510				hypothetical protein
HNHBCBPK_00748	CDS	687	glpG	3.4.21.105		Rhomboid protease GlpG
HNHBCBPK_00749	CDS	312	licA		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
HNHBCBPK_00750	CDS	1434	celB		COG1455	PTS system cellobiose-specific EIIC component
HNHBCBPK_00751	CDS	156				hypothetical protein
HNHBCBPK_00752	CDS	423				hypothetical protein
HNHBCBPK_00753	CDS	756				hypothetical protein
HNHBCBPK_00754	CDS	447	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
HNHBCBPK_00755	CDS	660				hypothetical protein
HNHBCBPK_00756	CDS	1365	radA	3.6.4.-	COG1066	DNA repair protein RadA
HNHBCBPK_00757	CDS	1074	yacL	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
HNHBCBPK_00758	CDS	654	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
HNHBCBPK_00759	CDS	711				putative protein
HNHBCBPK_00760	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
HNHBCBPK_00761	CDS	1461	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
HNHBCBPK_00762	CDS	900				hypothetical protein
HNHBCBPK_00763	CDS	708		2.4.2.-	COG2071	Putative glutamine amidotransferase
HNHBCBPK_00764	CDS	594	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
HNHBCBPK_00765	CDS	291				hypothetical protein
HNHBCBPK_00766	CDS	459				hypothetical protein
HNHBCBPK_00767	CDS	999	lplJ_1	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
HNHBCBPK_00768	CDS	1110	pdhA	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
HNHBCBPK_00769	CDS	981	pdhB_2	1.2.4.1		Pyruvate dehydrogenase E1 component subunit beta
HNHBCBPK_00770	CDS	1308	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
HNHBCBPK_00771	CDS	1413	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
HNHBCBPK_00772	CDS	1299	dap	3.4.11.19		D-aminopeptidase
HNHBCBPK_00773	CDS	735	mntB		COG1121	Manganese transport system ATP-binding protein MntB
HNHBCBPK_00774	CDS	1770				hypothetical protein
HNHBCBPK_00775	CDS	672	mntR			HTH-type transcriptional regulator MntR
HNHBCBPK_00776	CDS	1500				hypothetical protein
HNHBCBPK_00777	CDS	1515	glpK	2.7.1.30	COG0554	Glycerol kinase
HNHBCBPK_00778	CDS	1827	glpO	1.1.3.21	COG0578	Alpha-glycerophosphate oxidase
HNHBCBPK_00779	CDS	705	glpF		COG0580	Glycerol uptake facilitator protein
HNHBCBPK_00780	CDS	1068				hypothetical protein
HNHBCBPK_00781	tRNA	86				tRNA-Leu(aag)
HNHBCBPK_00782	CDS	1206	argG	6.3.4.5		Argininosuccinate synthase
HNHBCBPK_00783	CDS	1377	argH	4.3.2.1	COG0165	Argininosuccinate lyase
HNHBCBPK_00784	CDS	348	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
HNHBCBPK_00785	CDS	810	yidC2		COG0706	Membrane protein insertase YidC 2
HNHBCBPK_00786	CDS	957				hypothetical protein
HNHBCBPK_00787	CDS	135	rpmH			50S ribosomal protein L34
HNHBCBPK_00788	CDS	918	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
HNHBCBPK_00789	CDS	267				hypothetical protein
HNHBCBPK_00790	CDS	420	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
HNHBCBPK_00791	CDS	306				hypothetical protein
HNHBCBPK_00792	CDS	411	yodJ_1	3.4.-.-	COG1876	Putative carboxypeptidase YodJ
HNHBCBPK_00793	tRNA	83				tRNA-Tyr(gta)
HNHBCBPK_00794	tRNA	73				tRNA-Trp(cca)
HNHBCBPK_00795	tRNA	75				tRNA-His(gtg)
HNHBCBPK_00796	CDS	1767				hypothetical protein
HNHBCBPK_00797	CDS	1080	ysdC	3.4.11.-	COG1363	Putative aminopeptidase YsdC
HNHBCBPK_00798	CDS	2244	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
HNHBCBPK_00799	CDS	162				hypothetical protein
HNHBCBPK_00800	CDS	600				hypothetical protein
HNHBCBPK_00801	CDS	429				hypothetical protein
HNHBCBPK_00802	CDS	1881	pepO	3.4.24.-	COG3590	Neutral endopeptidase
HNHBCBPK_00803	CDS	813	cysL		COG0583	HTH-type transcriptional regulator CysL
HNHBCBPK_00804	CDS	975				hypothetical protein
HNHBCBPK_00805	CDS	3597	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
HNHBCBPK_00806	CDS	3621	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
HNHBCBPK_00807	CDS	885	glcU_2		COG4975	putative glucose uptake protein GlcU
HNHBCBPK_00808	CDS	1146	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
HNHBCBPK_00809	CDS	444				hypothetical protein
HNHBCBPK_00810	CDS	750	uppS	2.5.1.-	COG0020	Isoprenyl transferase
HNHBCBPK_00811	CDS	795				hypothetical protein
HNHBCBPK_00812	CDS	1155	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
HNHBCBPK_00813	CDS	1254	rasP	3.4.24.-	COG0750	Regulator of sigma-W protease RasP
HNHBCBPK_00814	CDS	1854	proS	6.1.1.15	COG0442	Proline--tRNA ligase
HNHBCBPK_00815	CDS	4401	polC	2.7.7.7	COG2176	DNA polymerase III PolC-type
HNHBCBPK_00816	CDS	966	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
HNHBCBPK_00817	CDS	756				hypothetical protein
HNHBCBPK_00818	CDS	639				hypothetical protein
HNHBCBPK_00819	CDS	810				hypothetical protein
HNHBCBPK_00820	CDS	2514	leuS	6.1.1.4		Leucine--tRNA ligase
HNHBCBPK_00821	CDS	750	ugpQ_2	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
HNHBCBPK_00822	CDS	402	copY			Transcriptional repressor CopY
HNHBCBPK_00823	CDS	1839				hypothetical protein
HNHBCBPK_00824	CDS	2703				hypothetical protein
HNHBCBPK_00825	CDS	462				hypothetical protein
HNHBCBPK_00826	CDS	879	sdhA	4.3.1.17		L-serine dehydratase, alpha chain
HNHBCBPK_00827	CDS	672	sdhB	4.3.1.17		L-serine dehydratase, beta chain
HNHBCBPK_00828	CDS	624		3.1.3.5	COG0546	5'-nucleotidase
HNHBCBPK_00829	CDS	1119	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
HNHBCBPK_00830	CDS	1887	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
HNHBCBPK_00831	CDS	1992	gdpP	3.1.4.59	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
HNHBCBPK_00832	CDS	453	rplI			50S ribosomal protein L9
HNHBCBPK_00833	CDS	1356	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
HNHBCBPK_00834	CDS	318				hypothetical protein
HNHBCBPK_00835	CDS	612	rpsD		COG0522	30S ribosomal protein S4
HNHBCBPK_00836	CDS	1998	macB_2	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
HNHBCBPK_00837	CDS	1173	recA		COG0468	Protein RecA
HNHBCBPK_00838	CDS	399	spxA_1		COG1393	Regulatory protein Spx
HNHBCBPK_00839	CDS	774	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
HNHBCBPK_00840	CDS	609				hypothetical protein
HNHBCBPK_00841	CDS	573	rnmV	3.1.26.8	COG1658	Ribonuclease M5
HNHBCBPK_00842	CDS	885	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
HNHBCBPK_00843	CDS	1053				hypothetical protein
HNHBCBPK_00844	CDS	882	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
HNHBCBPK_00845	CDS	657	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
HNHBCBPK_00846	CDS	1137				hypothetical protein
HNHBCBPK_00847	CDS	2193				hypothetical protein
HNHBCBPK_00848	CDS	957	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
HNHBCBPK_00849	CDS	576	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
HNHBCBPK_00850	CDS	525	satA	2.3.-.-		Streptothricin acetyltransferase A
HNHBCBPK_00851	CDS	2397	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
HNHBCBPK_00852	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
HNHBCBPK_00853	CDS	1143	glgD		COG0448	Glycogen biosynthesis protein GlgD
HNHBCBPK_00854	CDS	1143	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
HNHBCBPK_00855	CDS	1851	glgB	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
HNHBCBPK_00856	CDS	1821				hypothetical protein
HNHBCBPK_00857	CDS	669	glnP		COG0765	putative glutamine ABC transporter permease protein GlnP
HNHBCBPK_00858	CDS	681	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
HNHBCBPK_00859	CDS	828	peb1A		COG0834	Major cell-binding factor
HNHBCBPK_00860	CDS	741	glnQ_3			Glutamine transport ATP-binding protein GlnQ
HNHBCBPK_00861	CDS	729	walR		COG0745	Transcriptional regulatory protein WalR
HNHBCBPK_00862	CDS	1425	walK	2.7.13.3		Sensor histidine kinase WalK
HNHBCBPK_00863	CDS	804	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
HNHBCBPK_00864	CDS	738	rnc	3.1.26.3	COG0571	Ribonuclease 3
HNHBCBPK_00865	CDS	3546	smc_1		COG1196	Chromosome partition protein Smc
HNHBCBPK_00866	CDS	798	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
HNHBCBPK_00867	CDS	1383	ftsY			Signal recognition particle receptor FtsY
HNHBCBPK_00868	CDS	1812		4.2.1.53	COG4716	Oleate hydratase
HNHBCBPK_00869	CDS	597	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
HNHBCBPK_00870	CDS	2670		7.2.2.10		Calcium-transporting ATPase 1
HNHBCBPK_00871	CDS	189	rpmB		COG0227	50S ribosomal protein L28
HNHBCBPK_00872	CDS	363				putative protein
HNHBCBPK_00873	CDS	1671				putative protein
HNHBCBPK_00874	CDS	2016	recG	3.6.4.12		ATP-dependent DNA helicase RecG
HNHBCBPK_00875	CDS	96				hypothetical protein
HNHBCBPK_00876	CDS	465	ctsR		COG4463	Transcriptional regulator CtsR
HNHBCBPK_00877	CDS	2469	clpC			ATP-dependent Clp protease ATP-binding subunit ClpC
HNHBCBPK_00878	CDS	756				hypothetical protein
HNHBCBPK_00879	CDS	1146	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
HNHBCBPK_00880	CDS	216				hypothetical protein
HNHBCBPK_00881	CDS	705				hypothetical protein
HNHBCBPK_00882	CDS	321				hypothetical protein
HNHBCBPK_00883	CDS	540				hypothetical protein
HNHBCBPK_00884	CDS	552				hypothetical protein
HNHBCBPK_00885	CDS	525				hypothetical protein
HNHBCBPK_00886	CDS	471				hypothetical protein
HNHBCBPK_00887	CDS	849				hypothetical protein
HNHBCBPK_00888	CDS	540	thiT		COG3859	Thiamine transporter ThiT
HNHBCBPK_00889	CDS	249				hypothetical protein
HNHBCBPK_00890	CDS	846	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
HNHBCBPK_00891	CDS	849	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
HNHBCBPK_00892	CDS	837	metQ_3		COG1464	D-methionine-binding lipoprotein MetQ
HNHBCBPK_00893	CDS	1017	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
HNHBCBPK_00894	CDS	684	metP		COG2011	Methionine import system permease protein MetP
HNHBCBPK_00895	CDS	783			COG1234	putative protein
HNHBCBPK_00896	CDS	483	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
HNHBCBPK_00897	CDS	510				hypothetical protein
HNHBCBPK_00898	CDS	561				hypothetical protein
HNHBCBPK_00899	CDS	1284	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
HNHBCBPK_00900	CDS	939	nrnA	3.1.-.-	COG0618	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
HNHBCBPK_00901	CDS	1260	murA1_1	2.5.1.7		UDP-N-acetylglucosamine 1-carboxyvinyltransferase
HNHBCBPK_00902	CDS	264	rpmE2		COG0254	50S ribosomal protein L31 type B
HNHBCBPK_00903	CDS	1227	rpsA		COG0539	30S Ribosomal protein S1
HNHBCBPK_00904	CDS	435				Putative universal stress protein
HNHBCBPK_00905	CDS	303				hypothetical protein
HNHBCBPK_00906	CDS	2058				hypothetical protein
HNHBCBPK_00907	CDS	1143	iscS_1	2.8.1.7		Cysteine desulfurase IscS
HNHBCBPK_00908	CDS	1215	thiI	2.8.1.4	COG0301	putative tRNA sulfurtransferase
HNHBCBPK_00909	CDS	2382	mtgA_2	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
HNHBCBPK_00910	CDS	1254	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
HNHBCBPK_00911	CDS	645	def	3.5.1.88	COG0242	Peptide deformylase
HNHBCBPK_00912	CDS	270	rpsO		COG0184	30S ribosomal protein S15
HNHBCBPK_00913	CDS	510				hypothetical protein
HNHBCBPK_00914	CDS	936				hypothetical protein
HNHBCBPK_00915	CDS	1191	ackA	2.7.2.1	COG0282	Acetate kinase
HNHBCBPK_00916	CDS	1785				hypothetical protein
HNHBCBPK_00917	CDS	573	folT			Folate transporter FolT
HNHBCBPK_00918	CDS	357				hypothetical protein
HNHBCBPK_00919	CDS	1020				hypothetical protein
HNHBCBPK_00920	CDS	1281	serS	6.1.1.11		Serine--tRNA ligase
HNHBCBPK_00921	CDS	363				hypothetical protein
HNHBCBPK_00922	CDS	912	manZ		COG3716	PTS system mannose-specific EIID component
HNHBCBPK_00923	CDS	828	sorA		COG3715	PTS system sorbose-specific EIIC component
HNHBCBPK_00924	CDS	984	manX	2.7.1.191		PTS system mannose-specific EIIAB component
HNHBCBPK_00925	CDS	504	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
HNHBCBPK_00926	CDS	627	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
HNHBCBPK_00927	CDS	2454	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
HNHBCBPK_00928	CDS	255	rpsT		COG0268	30S ribosomal protein S20
HNHBCBPK_00929	CDS	660				hypothetical protein
HNHBCBPK_00930	CDS	696	nagR		COG2188	HTH-type transcriptional repressor NagR
HNHBCBPK_00931	CDS	258				hypothetical protein
HNHBCBPK_00932	CDS	537				hypothetical protein
HNHBCBPK_00933	CDS	813	natA	7.2.2.4	COG4555	ABC transporter ATP-binding protein NatA
HNHBCBPK_00934	CDS	771				hypothetical protein
HNHBCBPK_00935	CDS	789				hypothetical protein
HNHBCBPK_00936	CDS	273				hypothetical protein
HNHBCBPK_00937	CDS	915				hypothetical protein
HNHBCBPK_00938	CDS	330				hypothetical protein
HNHBCBPK_00939	CDS	1560	ffh		COG0541	Signal recognition particle protein
HNHBCBPK_00940	CDS	951	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
HNHBCBPK_00941	CDS	2031	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
HNHBCBPK_00942	CDS	264				hypothetical protein
HNHBCBPK_00943	CDS	1749				hypothetical protein
HNHBCBPK_00944	CDS	780				hypothetical protein
HNHBCBPK_00945	CDS	417				hypothetical protein
HNHBCBPK_00946	CDS	1242				hypothetical protein
HNHBCBPK_00947	CDS	1188				hypothetical protein
HNHBCBPK_00948	CDS	834				hypothetical protein
HNHBCBPK_00949	CDS	171				hypothetical protein
HNHBCBPK_00950	CDS	777	glcR		COG1349	HTH-type transcriptional repressor GlcR
HNHBCBPK_00951	CDS	1065	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
HNHBCBPK_00952	CDS	444	ulaC		COG1762	Ascorbate-specific PTS system EIIA component
HNHBCBPK_00953	CDS	1488	ulaA		COG3037	Ascorbate-specific PTS system EIIC component
HNHBCBPK_00954	CDS	303				hypothetical protein
HNHBCBPK_00955	CDS	642	ulaD	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
HNHBCBPK_00956	CDS	855	ulaE	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
HNHBCBPK_00957	CDS	723	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
HNHBCBPK_00958	CDS	1989	tkt	2.2.1.1		Transketolase
HNHBCBPK_00959	CDS	2007				hypothetical protein
HNHBCBPK_00960	CDS	936	yidC			Membrane protein insertase YidC
HNHBCBPK_00961	CDS	276	yccX	3.6.1.7		Acylphosphatase
HNHBCBPK_00962	CDS	489				hypothetical protein
HNHBCBPK_00963	CDS	363				hypothetical protein
HNHBCBPK_00964	CDS	735		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
HNHBCBPK_00965	CDS	498				hypothetical protein
HNHBCBPK_00966	CDS	462	phaJ	4.2.1.119	COG2030	(R)-specific enoyl-CoA hydratase
HNHBCBPK_00967	CDS	687	ybhL_1		COG0670	Inner membrane protein YbhL
HNHBCBPK_00968	CDS	690	ybhL_2		COG0670	Inner membrane protein YbhL
HNHBCBPK_00969	CDS	444				Flavodoxin
HNHBCBPK_00970	CDS	858				hypothetical protein
HNHBCBPK_00971	CDS	1782	lmrA	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
HNHBCBPK_00972	CDS	1470	dtpT		COG3104	Di-/tripeptide transporter
HNHBCBPK_00973	CDS	855	map_1	3.4.11.18	COG0024	Methionine aminopeptidase 1
HNHBCBPK_00974	CDS	498	bltD	2.3.1.57	COG0454	Spermine/spermidine acetyltransferase
HNHBCBPK_00975	CDS	855	map_2	3.4.11.18	COG0024	Methionine aminopeptidase 1
HNHBCBPK_00976	CDS	885				hypothetical protein
HNHBCBPK_00977	CDS	441				hypothetical protein
HNHBCBPK_00978	CDS	510	queT		COG4708	Queuosine precursor transporter QueT
HNHBCBPK_00979	CDS	405	spxA_2		COG1393	Regulatory protein Spx
HNHBCBPK_00980	CDS	279				hypothetical protein
HNHBCBPK_00981	CDS	774	cysQ	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
HNHBCBPK_00982	CDS	1278	murA1_2	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
HNHBCBPK_00983	CDS	177				hypothetical protein
HNHBCBPK_00984	CDS	1284	tig	5.2.1.8	COG0544	Trigger factor
HNHBCBPK_00985	CDS	570	rpoE			putative DNA-directed RNA polymerase subunit delta
HNHBCBPK_00986	CDS	1347	yclM	2.7.2.4	COG0527	Aspartokinase 3
HNHBCBPK_00987	CDS	645		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
HNHBCBPK_00988	CDS	726	mecA		COG4862	Adapter protein MecA
HNHBCBPK_00989	CDS	1125	tagO	2.7.8.33	COG0472	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase
HNHBCBPK_00990	CDS	774				putative ABC transporter ATP-binding protein
HNHBCBPK_00991	CDS	1272				hypothetical protein
HNHBCBPK_00992	CDS	1230	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
HNHBCBPK_00993	CDS	465	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
HNHBCBPK_00994	CDS	1410				hypothetical protein
HNHBCBPK_00995	CDS	555	sttH	3.5.2.19		Streptothricin hydrolase
HNHBCBPK_00996	CDS	591				hypothetical protein
HNHBCBPK_00997	CDS	432				hypothetical protein
HNHBCBPK_00998	CDS	180				hypothetical protein
HNHBCBPK_00999	CDS	651				hypothetical protein
HNHBCBPK_01000	CDS	252				hypothetical protein
HNHBCBPK_01001	CDS	534				hypothetical protein
HNHBCBPK_01002	CDS	537				hypothetical protein
HNHBCBPK_01003	CDS	552				hypothetical protein
HNHBCBPK_01004	CDS	531				hypothetical protein
HNHBCBPK_01005	CDS	2013	mrdA	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
HNHBCBPK_01006	CDS	1224	femX_2	2.3.2.16		Lipid II:glycine glycyltransferase
HNHBCBPK_01007	CDS	1248				hypothetical protein
HNHBCBPK_01008	CDS	753				hypothetical protein
HNHBCBPK_01009	CDS	1248				hypothetical protein
HNHBCBPK_01010	tRNA	74				tRNA-Arg(ccg)
HNHBCBPK_01011	CDS	933	rnz	3.1.26.11	COG1234	Ribonuclease Z
HNHBCBPK_01012	CDS	762		1.-.-.-		putative oxidoreductase
HNHBCBPK_01013	CDS	2223				hypothetical protein
HNHBCBPK_01014	CDS	513	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
HNHBCBPK_01015	CDS	681				hypothetical protein
HNHBCBPK_01016	CDS	660	pdg			Ultraviolet N-glycosylase/AP lyase
HNHBCBPK_01017	CDS	684	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
HNHBCBPK_01018	CDS	783			COG0327	GTP cyclohydrolase 1 type 2 
HNHBCBPK_01019	CDS	645				hypothetical protein
HNHBCBPK_01020	CDS	1227	pepT	3.4.11.4	COG2195	Peptidase T
HNHBCBPK_01021	CDS	498				hypothetical protein
HNHBCBPK_01022	CDS	204				hypothetical protein
HNHBCBPK_01023	CDS	579				hypothetical protein
HNHBCBPK_01024	CDS	669	cmk	2.7.4.25		Cytidylate kinase
HNHBCBPK_01025	CDS	810	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
HNHBCBPK_01026	CDS	1446	pbuO		COG2252	Guanine/hypoxanthine permease PbuO
HNHBCBPK_01027	CDS	534				hypothetical protein
HNHBCBPK_01028	CDS	1128	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
HNHBCBPK_01029	CDS	1098	prfB			Peptide chain release factor 2
HNHBCBPK_01030	CDS	696	ftsE		COG2884	Cell division ATP-binding protein FtsE
HNHBCBPK_01031	CDS	936	ftsX		COG2177	Cell division protein FtsX
HNHBCBPK_01032	CDS	1293		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
HNHBCBPK_01033	CDS	1806				hypothetical protein
HNHBCBPK_01034	CDS	861				hypothetical protein
HNHBCBPK_01035	CDS	480	bsaA			Glutathione peroxidase BsaA
HNHBCBPK_01036	tRNA	74				tRNA-Arg(cct)
HNHBCBPK_01037	CDS	651				hypothetical protein
HNHBCBPK_01038	CDS	1113	cshC	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshC
HNHBCBPK_01039	CDS	996	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
HNHBCBPK_01040	CDS	1569		3.2.1.1	COG0366	Alpha-amylase
HNHBCBPK_01041	CDS	822	ecfT_2		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
HNHBCBPK_01042	CDS	1707	ykoD	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
HNHBCBPK_01043	CDS	546				hypothetical protein
HNHBCBPK_01044	CDS	861	salL	2.5.1.94	COG1912	Adenosyl-chloride synthase
HNHBCBPK_01045	CDS	654	udk	2.7.1.48	COG0572	Uridine kinase
HNHBCBPK_01046	CDS	645	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
HNHBCBPK_01047	CDS	1026	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
HNHBCBPK_01048	CDS	3681		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
HNHBCBPK_01049	CDS	867	dacA_2	2.7.7.85	COG1624	Diadenylate cyclase
HNHBCBPK_01050	CDS	963	cdaR		COG4856	CdaA regulatory protein CdaR
HNHBCBPK_01051	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
HNHBCBPK_01052	CDS	1320	obg	3.6.5.-	COG0536	GTPase Obg
HNHBCBPK_01053	CDS	174				hypothetical protein
HNHBCBPK_01054	CDS	960			COG1702	PhoH-like protein
HNHBCBPK_01055	CDS	456				hypothetical protein
HNHBCBPK_01056	CDS	501	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
HNHBCBPK_01057	CDS	402	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
HNHBCBPK_01058	CDS	900	era		COG1159	GTPase Era
HNHBCBPK_01059	CDS	525				hypothetical protein
HNHBCBPK_01060	CDS	831	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
HNHBCBPK_01061	CDS	618	coaE	2.7.1.24		Dephospho-CoA kinase
HNHBCBPK_01062	CDS	1233	sbnD			Staphyloferrin B transporter
HNHBCBPK_01063	CDS	147	rpmGA_2			50S ribosomal protein L33 1
HNHBCBPK_01064	CDS	321				hypothetical protein
